"case","metric","value"
"n18","welch.p",0.0000000731949238169396
"n18","m_hat",4.71428571428571
"n18","mood.approx.a",21
"n18","mood.approx.b",45
"n18","mood.approx.p",0.0000191391765604085
"n18","mood.exact.p",0.0000252544209010416
"n18","method",2
"n19","median1",0.130833295076603
"n19","median2",-0.395874352947953
"n19","q1_1",-0.749391252100094
"n19","q3_1",0.498728154261132
"n19","q1_2",-1.46392638867971
"n19","q3_2",1.37786554881963
"n19","sw1.w",0.978767390633425
"n19","sw1.p",0.859629206278877
"n19","sw2.w",0.940883294569119
"n19","sw2.p",0.155148456243783
"n19","welch.t",-0.862857343581708
"n19","welch.df",27.7105844815749
"n19","welch.p",0.39562254968478
"n19","m_hat",-0.0299022274586596
"n19","mood.approx.a",13
"n19","mood.approx.b",12
"n19","mood.approx.p",1
"n19","mood.exact.p",1
"n19","method",1
"n20","median1",-0.0370164568633355
"n20","median2",1.01670090426567
"n20","q1_1",-0.561948870399322
"n20","q3_1",0.554735352073589
"n20","q1_2",0.560217884768304
"n20","q3_2",1.89260773790474
"n20","sw1.w",0.971999561642384
"n20","sw1.p",0.556336219157534
"n20","sw2.w",0.976052025267023
"n20","sw2.p",0.679477735192186
"n20","welch.t",-4.77231205091139
"n20","welch.df",60.4976590023475
"n20","welch.p",0.0000119260498232549
"n20","m_hat",0.443438407216586
"n20","mood.approx.a",11
"n20","mood.approx.b",26
"n20","mood.approx.p",0.000309399839677127
"n20","mood.exact.p",0.000134044589900516
"n20","method",1
